-DOCSTART- -X- -X- O
once RB O O
chase NN O O
CC NNP O O
"3787 5097 9421 512" CRE O MSK
SS NNP O O
"554 12 1805" SSN O MSK
account NN O O
have VBP O O
not RB O O
heard VBN O O

received VBD O O
credit NN O O
monitoring VBG O O
alert NN O O
collection NN O O
was VBD O O
added VBN O O
credit NN O O
report NN O O
SS NNP O O
"212 13 6254" SSN O MSK
sent VBD O O
validation NN O O
letter NN O O
make VB O O
sure JJ O O
was VBD O O
debt NN O O
called VBD O O
XXXX NNP O O
XXXX NNP O O
acknowledge VBP O O
did VBD O O
fact NN O O
receive VB O O
payment NN O O
was VBD O O
deposited VBN O O
verified VBD O O
collection NN O O
agency NN O O
will MD O O
not RB O O
remove VB O O
fact NN O O
updated VBD O O
XX/XX/XXXX NNP O O
owed VBN O O
debt NN O O
CC NNP O O
"4024 0071 6851 2159" CRE O MSK
retaliation NN O O
showing NN O O
still RB O O
owing VBG O O
debt NN O O
hurting VBG O O
credit NN O O
score NN O O
credit NN O O
agency NN O O

Prohibition NN O O
sale NN O O
transfer NN O O
debt NN O O
caused VBN O O
identity NN O O
theft NN O O
SS NNP O O
"764 09 8762" SSN O MSK
DL NNP O O
"261 93 9458" SSN O MSK
have VBP O O
not RB O O
responded VBN O O
request NN O O
provide VB O O
investigation NN O O
report NN O O

exact JJ O O
conduct NN O O
prohibited VBN O O
FDCPA NNP O O
been VBN O O
repeated VBN O O
directly RB O O
knowledge NN O O
violation NN O O
therefore RB O O
reprehensible JJ O O
i NN O O
need VBP O O
help NN O O
resolve VB O O
My NNP O O
SS NNP O O
"654 23 2876" SSN O MSK
DL NNP O O
"845 05 1324" SSN O MSK

opened VBD O O
Store NNP O O
Credit NNP O O
Card NNP O O
Account NNP O O
"4929 8793 8106 2154" CRE O MSK
SS NNP O O
"855 94 5967" SSN O MSK
XXXX NNP O O
XXXX NNP O O
back RB O O
XX/XX/XXXX NN O O

XX/XX/XXXX NNP O O
sent VBD O O
request NN O O
Equifax NNP O O
XXXX NNP O O
XXXX NNP O O
XXXX NNP O O
investigate VB O O
error NN O O
appeared VBD O O
credit NN O O
report NN O O
SS NNP O O
"848 43 3321" SSN O MSK
were VBD O O
supposed VBN O O
respond VB O O
days NNS O O
have VBP O O
not RB O O
yet RB O O
received VBN O O
response NN O O

evening NN O O
XX/XX/XXXX NN O O
made VBD O O
arrangements NNS O O
so RB O O
called VBN O O
Sr. NNP O O
loan NN O O
officer NN O O
Fortren NNP O O
Funding NNP O O
located VBN O O
XXXX NNP O O
XXXX NNP O O
XXXX NNP O O
XXXX NNP O O
NJ NNP O O
XXXX NNP O O
refinance VB O O
HELOC NNP O O
mortgage NN O O
"3785 3404 2484 354" CRE O MSK
SS NNP O O
"442 86 9090" SSN O MSK
homeowner NN O O
telling VBG O O
how WRB O O
handle VB O O
money NN O O
Please NNP O O
help VB O O
DL NNP O O
id NN O O
"275 50 9226" SSN O MSK

transmission NN O O
protected VBN O O
Privacy NNP O O
Act NNP O O

XXXX NN O O
XXXX NNP O O
All NNP O O
Mr. NNP O O
XXXX NNP O O
rights NNS O O
Reserved VBN O O
SS NNP O O
"654 98 7874" SSN O MSK
DL NNP O O
1779601 DIL O MSK

Dear NNP O O
Capital NNP O O
One NNP O O
/Executive NNP O O
Office NNP O O
President NNP O O
was VBD O O
shocked VBN O O
when WRB O O
reviewed VBD O O
XXXX NN O O
XXXX NNP O O
XXXX NNP O O
credit NN O O
reports NNS O O
SS NNP O O
"333 97 8512" SSN O MSK
found VBD O O
was VBD O O
reported VBN O O
having VBG O O
late JJ O O
payment NN O O
date NN O O
XX/XX/2018 NN O O
days NNS O O

|thought VBD O O
had VBD O O
made VBN O O
payments NNS O O
time NN O O
when WRB O O
received VBD O O
statements NNS O O
CC NNP O O
account NN O O
"4929 2643 5301 3644" CRE O MSK

USPS NNP O O
certified VBN O O
receipt JJ O O
mail NN O O
letter NN O O
was VBD O O
sent VBN O O
Experian NNP O O
delivered VBN O O
Monday NNP O O
XX/XX/2019 NNP O O
requesting VBG O O
validation NN O O
debt NN O O
CC NNP O O
account NN O O
"4485 9146 9413 0723" CRE O MSK
SS NNP O O
"503 99 8791" SSN O MSK

no RB O O
own VB O O
debt NN O O
CC NNP O O
"5189 8140 9348 2970" CRE O MSK
SS NNP O O
"640 74 9773" SSN O MSK
have VBP O O
legal JJ O O
right NN O O
collect VB O O
report VB O O
ownership NN O O
credit NN O O
bureaus NN O O
disputed VBD O O
ownership NN O O
account NN O O
XXXX NNP O O
certified VBD O O
XXXX NN O O
owned VBD O O
account NN O O
account NN O O
was VBD O O
past JJ O O
due JJ O O
claim NN O O
didnt VBP O O
own JJ O O
debt NN O O
was VBD O O
FALSE JJ O O

XXXX NNP O O
XXXX NNP O O
XXXX NNP O O
control NN O O
made VBD O O
complaint NN O O
XXXX VB O O
XXXX NNP O O
XXXX NNP O O
XXXX NNP O O
requested VBD O O
hard JJ O O
inquiries NNS O O
instead RB O O
soft JJ O O
inquiries NNS O O
when WRB O O
applied VBD O O
loan NN O O
XXXX NNP O O
XXXX NNP O O
SS NNP O O
"654 78 3452" SSN O MSK
was VBD O O
instructed VBN O O
XXXX NNP O O
XXXX NNP O O
XXXX NNP O O
contact VB O O
directly RB O O
were VBD O O
part NN O O
XXXX NNP O O
complied VBD O O

'm VBP O O
still RB O O
waiting VBG O O
escrow NN O O
refund NN O O
month NN O O
payment NN O O
adjust RB O O
accordingly RB O O
Details NNS O O
are VBP O O
SS NNP O O
"786 09 4563" SSN O MSK

are VBP O O
begging VBG O O
assistance NN O O
resolve VB O O
issue NN O O
Details NNS O O
are VBP O O
SS NNP O O
"765 98 4563" SSN O MSK
DLID NNP O O
"4916 0288 2403 5295" CRE O MSK

would MD O O
receive VB O O
call NN O O
back RB O O
days NNS O O
Please VB O O
help VB O O
resolve VB O O
issue NN O O
SS NNP O O
"765 98 4563" SSN O MSK
CC NNP O O
"4417 8325 4611 4369" CRE O MSK
DL NNP O O
"399 56 8107" SSN O MSK

have VBP O O
major JJ O O
concern NN O O
n't RB O O
Synchrony NNP O O
have VB O O
funds NNS O O
available JJ O O
disbursement NN O O
do VBP O O
have VB O O
liquidity NN O O
problem NN O O
are VBP O O
danger NN O O
failing VBG O O

Secondly RB O O
type NN O O
customer NN O O
service NN O O
service NN O O

company NN O O
Source NNP O O
Receivables NNP O O
Management NNP O O
provided VBN O O
incorrect JJ O O
address NN O O
Social NNP O O
"675 09 6753" SSN O MSK

sold VBN O O
account NN O O
"4196 6242 1913 9535" CRE O MSK
SS NNP O O
"626 99 3854" SSN O MSK
collection NN O O
agency NN O O
stated VBD O O
would MD O O
reach VB O O
lender VB O O
confirm VB O O
agreement NN O O
pay VB O O
update JJ O O
account NN O O

received VBD O O
reply NN O O
time NN O O
Credit NNP O O
card NN O O
account NN O O
"4024 0071 3240 1166" CRE O MSK
SS NNP O O
"695 63 1044" SSN O MSK
been VBN O O
updated VBN O O
placed VBN O O
calls NNS O O
status NN O O
apologize VBP O O
inconvenience NN O O
may MD O O
have VB O O
caused VBN O O

XXXX NN O O
XXXX NNP O O
XXXX NNP O O
canceled VBD O O
credit NN O O
card NN O O
"4532 1077 5591 1395" CRE O MSK
've VBP O O
had VBD O O
opened VBN O O
years NNS O O
issue NN O O
social JJ O O
security NN O O
number NN O O
account NN O O
was VBD O O
business NN O O
card NN O O
name NN O O
XXXX NNP O O
XXXX NNP O O
XXXX NNP O O
XXXX NNP O O
XXXX NNP O O
last JJ O O
digits NNS O O
card NN O O
had VBD O O
Credit NNP O O
Line NNP O O

Hello NNP O O
i NN O O
am VBP O O
identity NN O O
theft NN O O
victim NN O O
shown VBN O O
credit NN O O
report NN O O
SS NNP O O
"493 73 5413" SSN O MSK
DL NNP O O
SS NNP O O
"619 48 4102" SSN O MSK

am VBP O O
fed VBN O O
charges NNS O O
SS NNP O O
"675 09 7867" SSN O MSK
DL NNP O O
id NN O O
SS NNP O O
"268 79 5802" SSN O MSK

sought VBD O O
close VB O O
accounts NNS O O
"4539 7041 0758 2792" CRE O MSK
CVV NNP O O
"5277 6921 4285 1434" CRE O MSK
CVV NNP O O
SS NNP O O
"455 16 4608" SSN O MSK
Instead RB O O
was VBD O O
instructed VBN O O
only JJ O O
option NN O O
was VBD O O
donate VB O O
said VBD O O
funds NNS O O
charity NN O O
THEIR NNP O O
chose NN O O

XXXX NN O O
XXXX NNP O O
XXXX NNP O O
CLARITY NNP O O
XXXX NNP O O
ETC NNP O O
ARE NNP O O
FALSELY NNP O O
REPORTING NNP O O
NEGATIVE NNP O O
INFO NNP O O
FROM NNP O O
EACH NNP O O
OTHER NNP O O
SS NNP O O
"654 33 4657" SSN O MSK

Cash NNP O O
WITHDRAWAL NNP O O
CC NNP O O
"4556 5110 5723 8954" CRE O MSK
WHICH NNP O O
TEXTED NNP O O
BACK NNP O O
NO NNP O O

called VBD O O
transunion NN O O
sixth JJ O O
times NNS O O
last JJ O O
weeks NNS O O
dispute VB O O
account NN O O
not RB O O
reporting VBG O O
credit NN O O
report NN O O
SS NNP O O
"933 19 2038" SSN O MSK
XXXX NNP O O
XXXX NNP O O
reporting VBG O O
XXXX NN O O
XXXX NN O O
so RB O O
i JJ O O
asked VBD O O
update VB O O
report VB O O
account NN O O
still RB O O
have VBP O O
n't RB O O
.. NN O O

called VBD O O
Wells NNP O O
Fargo NNP O O
Home NNP O O
Mortgage NNP O O
HELOC NNP O O
"5529 1003 8452 5613" CRE O MSK
SS NNP O O
"205 47 6568" SSN O MSK
get VB O O
payoff NN O O
mortgage NN O O
XX/XX/ NNS O O

requested VBD O O
free JJ O O
credit NN O O
report NN O O
XX/XX/2018 NNP O O
SS NNP O O
"765 90 8765" SSN O MSK
Have VBP O O
not RB O O
received VBN O O
XX/XX/XXXX NNP O O
called VBD O O
Equifax NNP O O
XX/XX/XXXX NNP O O
spoke VBD O O
people NNS O O
minutes NNS O O

had VBD O O
scheduled VBN O O
mortgage NN O O
payments NNS O O
HELOC NNP O O
account NN O O
"5330 1881 2045 5251" CRE O MSK
SS NNP O O
"711 55 8324" SSN O MSK
DL NNP O O
69788927 DIL O MSK
using VBG O O
ACH NNP O O
system NN O O

mixed JJ O O
file NN O O
someone NN O O
else RB O O
do VBP O O
not RB O O
know VB O O
was VBD O O
id JJ O O
theft NN O O
SS NNP O O
"654 89 2245" SSN O MSK
someone NN O O
elses NNS O O
actual JJ O O
credit NN O O
file NN O O
see VBP O O
account NN O O
"4452 0909 1412 0536" CRE O MSK
not RB O O
mine JJ O O
skinny NN O O
Portfolio NNP O O
Recovery NNP O O
PRA NNP O O
did VBD O O
not RB O O
have VB O O
information NN O O
XXXX NNP O O
provided VBD O O
social JJ O O
address JJ O O
name NN O O
PRA NNP O O

XXXX NNP O O
XXXX NNP O O
received VBD O O
official JJ O O
copy NN O O
credit NN O O
report NN O O
SS NNP O O
"564 88 8976" SSN O MSK
XXXX NN O O
derogatory NN O O
remarks NNS O O
was VBD O O
removed VBN O O
XXXX NNP O O
credit NN O O
reporting NN O O

am VBP O O
respectfully RB O O
requesting VBG O O
XXXX NNP O O
XXXX NNP O O
XXXX NNP O O
delete VB O O
Unauthorize NNP O O
Hard NNP O O
Inquiries NNP O O
credit NN O O
report NN O O
Credi NNP O O
card NN O O
"5389 4166 0204 5328" CRE O MSK
also RB O O
XXXX NNP O O
XXXX NNP O O
remove VB O O
Bankruptcy NNP O O
credit NN O O
report NN O O

am VBP O O
writing VBG O O
complain VB O O
Equifax NNP O O
have VBP O O
written VBN O O
twice RB O O
XX/XX/XXXX NNP O O
stating VBG O O
information NN O O
credit NN O O
report NN O O
Scoial JJ O O
"432 22 2562" SSN O MSK
showed VBD O O
credit NN O O
inquiries NNS O O
do VBP O O
not RB O O
recall VB O O
authorizing VBG O O

transfered VBD O O
balance NN O O
XXXX NNP O O
card NN O O
ending VBG O O
Barclay NNP O O
card NN O O
ending VBG O O
messed VBD O O
putting VBG O O
correct JJ O O
card NN O O
number NN O O
"3727 3784 0579 335" CRE O MSK
XXXX NNP O O
card NN O O
when WRB O O
transferring VBG O O
XXXX NNP O O
Barclay NNP O O

Originally RB O O
sent VBD O O
letter NN O O
XX/XX/2018 NN O O
XXXX VB O O
XXXX NNP O O
XXXX NNP O O
XXXX NNP O O
disputing VBG O O
tradeline NN O O
credit NN O O
report NN O O
SS NNP O O
"989 70 5294" SSN O MSK
DL NNP O O
"851 39 2778" SSN O MSK

Today NN O O
XX/XX/2018 NNP O O
business NN O O
assets NNS O O
are VBP O O
frozen JJ O O
money NN O O
blocked VBD O O
own JJ O O
business NN O O
accounts NNS O O
"5575 2230 3930 4482" CRE O MSK
"4716 3403 6699 9396" CRE O MSK

dont VBP O O
know NNS O O
capio JJ O O
partners NNS O O
llc VBP O O
have VBP O O
ever RB O O
done VBN O O
business NN O O
i VB O O
do VBP O O
not RB O O
know VB O O
are VBP O O
how WRB O O
got VBD O O
info NN O O
SS NNP O O
"672 22 2543" SSN O MSK
DL NNP O O
"868 60 9424" SSN O MSK

shipped VBD O O
DVR NNP O O
back RB O O
few JJ O O
days NNS O O
late RB O O
result NN O O
was VBD O O
billed VBN O O
CC NNP O O
"4903 0583 6459 1899" CRE O MSK
SS NNP O O
"337 40 5835" SSN O MSK
equipment NN O O

am VBP O O
victim NN O O
identity NN O O
theft NN O O
DL NNP O O
"261 09 3367" SSN O MSK
recently RB O O
learned VBD O O
personal JJ O O
information NN O O
such JJ O O
"110 89 8976" SSN O MSK

last JJ O O
months NNS O O
have VBP O O
contacted VBN O O
bureau NN O O
remove VB O O
unauthorized JJ O O
hard JJ O O
inquiries NNS O O
credit NN O O
report NN O O
SS NNP O O
"212 56 9282" SSN O MSK

need VBP O O
help VB O O
resolving VBG O O
personal JJ O O
details NNS O O
are VBP O O
Social NNP O O
"786 88 4563" SSN O MSK
DLID NNP O O
"182 50 5937" SSN O MSK

even RB O O
asked VBD O O
type NN O O
compensation NN O O
additional JJ O O
expenses NNS O O
way NN O O
waving NN O O

regarding VBG O O
account NN O O
"4539 8707 1741 8477" CRE O MSK
reporting NN O O
personal JJ O O
Experian JJ O O
credit NN O O
report NN O O
SS NNP O O
"761 11 9186" SSN O MSK

Account NN O O
Name NN O O
XXXX NN O O
Account NNP O O
Number NNP O O
"4539 8707 1741 8477" CRE O MSK
months NNS O O
have VBP O O
been VBN O O
disputing VBG O O
account NN O O
credit NN O O
bureaus NN O O
month NN O O
have VBP O O
not RB O O
been VBN O O
able JJ O O
report VB O O
accurate JJ O O
information NN O O
regarding VBG O O
item NN O O
Many JJ O O
pieces NNS O O
information NN O O
are VBP O O
being VBG O O
reported VBN O O
keep NN O O
changing NN O O
are VBP O O
not RB O O
accurate JJ O O

XX/XX/2018 NNP O O
day NN O O
mother NN O O
died VBD O O
made VBD O O
purchase NN O O
amount NN O O
CC NNP O O
"4024 0071 8190 7378" CRE O MSK
SS NNP O O
"123 60 9308" SSN O MSK

Please VB O O
respond NN O O
thank NN O O
protecting VBG O O
senior JJ O O
citizens NNS O O
need VBP O O
deserve VB O O
intervention NN O O
OUR NNP O O
SSN NNP O O
"764 90 4563" SSN O MSK
% NN O O
"554 22 2222" SSN O MSK
DL NNP O O
ID NNP O O
"831 03 4456" SSN O MSK
"334 41 2100" SSN O MSK

sincere JJ O O
appreciation NN O O
XXXX NNP O O
XXXX NNP O O
XXXX NNP O O
XXXX NNP O O
XXXX NNP O O
XXXX NNP O O
XXXX NNP O O
XXXX NNP O O
XXXX NNP O O
MA NNP O O
XXXX NNP O O
XXXX NNP O O
XXXX NNP O O
XXXX NNP O O
Mortgage NNP O O
XXXX NNP O O
Line NNP O O
Credit NNP O O
XXXX NN O O

Collections NNP O O
Department NNP O O
regarding VBG O O
credit NN O O
account NN O O
"5314 2000 6689 9796" CRE O MSK
find VB O O
postponement NN O O
Sale NNP O O
pending VBG O O
access NN O O
appraisal NN O O
property NN O O
short JJ O O
sale NN O O
purchase NN O O
using VBG O O
CC NNP O O
"5160 9328 8481 6512" CRE O MSK

received VBD O O
notice JJ O O
loan NN O O
was VBD O O
being VBG O O
transferred VBN O O
XXXX NNP O O
Loan NNP O O
Care NNP O O
credit NN O O
account NN O O
"3773 0253 8580 338" CRE O MSK
SS NNP O O
"675 87 2982" SSN O MSK

Creditor NN O O
reporting VBG O O
accounts NNS O O
"5370 7836 5089 5347" CRE O MSK
"5171 7033 7432 2361" CRE O MSK
are VBP O O
invalid JJ O O
unverified JJ O O
Social NNP O O
"323 56 3674" SSN O MSK

have VBP O O
been VBN O O
calling VBG O O
tim NN O O
es VBD O O
day NN O O
eks VBP O O
now RB O O
payment NN O O
XXXX NNP O O
account NN O O
SS NNP O O
"436 11 6838" SSN O MSK
have VBP O O
repeatedly RB O O
asked VBN O O
more JJR O O
time NN O O
finally RB O O
had VBD O O
talk VB O O
manager NN O O

Hello NNP O O
may MD O O
concerns NNS O O
was VBD O O
running VBG O O
small JJ O O
company NN O O
test NN O O
less JJR O O
days NNS O O
opening VBG O O
business NN O O
credit NN O O
debit VB O O
card NN O O
Social NNP O O
"887 32 3263" SSN O MSK

So RB O O
banks NNS O O
release VB O O
money NN O O
business NN O O
days NNS O O
account NN O O
"5142 3186 9067 7210" CRE O MSK

returned VBD O O
metal NN O O
drying VBG O O
rack NN O O
Walmart NNP O O
Order NNP O O
XXXX NN O O
today NN O O
using VBG O O
CC NNP O O
"5347 8803 4141 1250" CRE O MSK
customer NN O O
service NN O O
representative NN O O
was VBD O O
extremely RB O O
uncooperative JJ O O
wound VBD O O
refunding VBG O O
payment NN O O
gift NN O O
card NN O O
instead RB O O
Walmart NNP O O
credit NN O O
card NN O O
want VBP O O
refund NN O O
go VB O O
back RB O O
credit NN O O
card NN O O
could MD O O
close VB O O
credit NN O O
card NN O O
account NN O O
"5347 8803 4141 1250" CRE O MSK
SS NNP O O
involved VBN O O
above JJ O O
trx NN O O
"345 66 8863" SSN O MSK

fraud NN O O
scam NN O O
Please NNP O O
be VB O O
aware JJ O O
number NN O O
tried VBD O O
post VB O O
charges NNS O O
CC NNP O O
account NN O O
"4916 8050 4082 3764" CRE O MSK
put VB O O
hard JJ O O
enquires NNS O O
SS NNP O O
"747 36 3902" SSN O MSK
am VBP O O
not RB O O
sure JJ O O
DL NNP O O
"715 00 3400" SSN O MSK
safe JJ O O

Company NN O O
calling VBG O O
attempt NN O O
reach VB O O
brother NN O O
do VBP O O
not RB O O
have VB O O
debts NNS O O
myself VBP O O
are VBP O O
trying VBG O O
collect VB O O
CC NNP O O
"3476 0704 6555 524" CRE O MSK

even RB O O
had VBD O O
DL NNP O O
info NN O O
"845 72 8535" SSN O MSK

m VBP O O
victim NN O O
online JJ O O
work NN O O
home NN O O
scam NN O O
CC NNP O O
"5360 3244 6821 1005" CRE O MSK
posted VBD O O
charge NN O O
banks NNS O O
say VBP O O
conducted VBD O O
investigation NN O O
did VBD O O
not RB O O
want VB O O
documents NNS O O
assist VB O O
behalf NN O O
XXXX NNP O O
XXXX NNP O O
matter NN O O
stating VBG O O
do VBP O O
not RB O O
give VB O O
third JJ O O
party NN O O
information NN O O
am VBP O O
not RB O O
customer NN O O
account NN O O
can MD O O
not RB O O
help VB O O
hope VBP O O
SS JJ O O
"643 43 3233" SSN O MSK
still RB O O
safe JJ O O

started VBD O O
again RB O O
new JJ O O
trial NN O O
period NN O O
made VBD O O
payments NNS O O
XXXX NNP O O
XXXX NNP O O
XX/XX/XXXX NNP O O
account NN O O
"4539 0366 0819 0332" CRE O MSK
SS NNP O O
"865 81 7973" SSN O MSK
MY NNP O O
ID NNP O O
87699080 DIL O MSK

have VBP O O
contacted VBN O O
Experian JJ O O
inaccurate JJ O O
information NN O O
credit NN O O
report NN O O
SS NNP O O
"944 35 7330" SSN O MSK
Experian NN O O
failed VBN O O
verify VB O O
accounts NNS O O
"4929 1275 0016 3846" CRE O MSK
"3470 9400 0633 037" CRE O MSK
i NN O O
never RB O O
owned VBN O O

just RB O O
want VB O O
record NN O O
reflect VB O O
am VBP O O
seeking VBG O O
damages NNS O O
Fair NNP O O
Accurate NNP O O
Credit NNP O O
Transactions NNP O O
Act NNP O O
FACT NNP O O
CFPB NNP O O
please NN O O
document NN O O
will MD O O
use VB O O
previously RB O O
file JJ O O
cases NNS O O
evidence NN O O
violation NN O O
My NNP O O
CC NNP O O
"5495 1651 8248 1731" CRE O MSK
SSN NNP O O
"434 09 2323" SSN O MSK
DLID NNP O O
21527838 DIL O MSK

desperation NN O O
foolishly RB O O
turned VBD O O
predatory NN O O
payday NN O O
loan NN O O
lender NN O O
borrowed VBD O O
account NN O O
"4539 9008 6889 5858" CRE O MSK
SS NNP O O
"774 91 6522" SSN O MSK
did VBD O O
not RB O O
fully RB O O
understand VBP O O
ramifications NNS O O

XX/XX/XXXX NNP O O
had VBD O O
went VBD O O
see VB O O
can MD O O
get VB O O
quickloan NN O O
just RB O O
boost VB O O
credit NN O O
score NN O O
SS NNP O O
"212 33 4211" SSN O MSK
alittle NN O O
up RB O O
got VBD O O
application NN O O
part NN O O
when WRB O O
i NN O O
realized VBD O O
left VBD O O
state NN O O
id NN O O
wallet NN O O
car NN O O
needed VBD O O
application NN O O
once RB O O
gave VBD O O
id NN O O
took VBD O O
info NN O O
got VBD O O
notification NN O O
phone NN O O
credit NN O O
score NN O O
dropped VBD O O
down RB O O
points NNS O O
never RB O O
authorized VBD O O
run VB O O
credit NN O O
never RB O O
even RB O O
got VBD O O
part NN O O
i NN O O
called VBD O O
're VBP O O
company NN O O
talked VBD O O
mostly RB O O
even RB O O
department NN O O
've VBP O O
transfer VB O O
too RB O O
still RB O O
nothing NN O O
company NN O O
XXXX NNP O O
XXXX NNP O O
DL NNP O O
id NN O O
k68596408000900 VBN O O

Reporting VBG O O
negative JJ O O
accounts NNS O O
"4556 6371 8830 6491" CRE O MSK
"3413 8074 0944 453" CRE O MSK
credit NN O O
reports NNS O O
SS NNP O O
"716 22 4392" SSN O MSK

was VBD O O
loaned VBN O O
online NN O O
Bright NNP O O
Lending NNP O O
SS NNP O O
"233 88 4343" SSN O MSK
payments NNS O O
are VBP O O
extremely RB O O
expensive JJ O O
due JJ O O
recent JJ O O
Hurricane NNP O O
Michael NNP O O
am VBP O O
unable JJ O O
continue VB O O
making VBG O O
high JJ O O
interest NN O O
biweekly NN O O
payments NNS O O
researching VBG O O
options NNS O O
discovered VBD O O
Section NN O O
subsection NN O O
B NNP O O
Georgia NNP O O
Code NNP O O
states NNS O O
Where WRB O O
principal JJ O O
amount NN O O
involved VBN O O
less JJR O O
such JJ O O
rate NN O O
shall MD O O
not RB O O
exceed VB O O
percent JJ O O
annum NN O O
simple JJ O O
interest NN O O
loan NN O O
advance NN O O
forbearance NN O O
enforce VB O O
collection NN O O
sum NN O O
money NN O O
current JJ O O
interest NN O O
rate NN O O
loan NN O O
% NN O O
significantly RB O O
higher JJR O O
interest NN O O
rate NN O O

My NNP O O
credit NN O O
report NN O O
SS NNP O O
"323 99 3232" SSN O MSK
states NNS O O
was VBD O O
late RB O O
paying VBG O O
car NN O O
payment NN O O
listed VBN O O
twice RB O O
credit NN O O
report NN O O
XX/XX/XXXX NNP O O
XX/XX/XXXX NNP O O
lates NNS O O
correct NN O O
credit NN O O
reports NNS O O
have VBP O O
not RB O O
gave VBD O O
sufficient JJ O O
proof NN O O
do VBP O O
not RB O O
show VB O O
down JJ O O
payment NN O O
made VBD O O
using VBG O O
CC NNP O O
"5158 7816 7089 0346" CRE O MSK

"4532 7852 8808 6619" CRE O MSK
SS NNP O O
"683 48 1373" SSN O MSK
was VBD O O
sold VBN O O
mortgage NN O O
securities NNS O O
pool VBP O O
XXXX NNP O O

contacted VBD O O
Experian JJ O O
XX/XX/XXXX NN O O
took VBD O O
care NN O O
changing VBG O O
personal JJ O O
information NN O O
Socials NNP O O
"436 43 3432" SSN O MSK
"323 46 4534" SSN O MSK
CC NNP O O
account NN O O
"4532 5440 0649 6018" CRE O MSK
DLs NNP O O
are VBP O O
j89969331406476 NN O O
t90477320082241 NN O O

Hi NNP O O
've VBP O O
contacted VBN O O
NMAC NNP O O
regarding VBG O O
payment NN O O
CC NNP O O
"5535 8549 7299 6899" CRE O MSK
would MD O O
like VB O O
can MD O O
allow VB O O
day NN O O
waiver NN O O
XX/XX/XXXX NNP O O
will MD O O
set VB O O
automatic JJ O O
payments NNS O O
moving VBG O O
forward RB O O
am VBP O O
desperate JJ O O
SSN NNP O O
"323 43 3232" SSN O MSK
DL NNP O O
l36759891826891 JJ O O

name NN O O
XXXX NNP O O
XXXX NNP O O
CC NNP O O
"5406 5980 9834 3892" CRE O MSK
SS NNP O O
"935 28 7836" SSN O MSK
am VBP O O
sender NN O O
above NN O O
referenced VBD O O
wire NN O O
transfer NN O O
BB NNP O O
T NNP O O
Bank NNP O O

Round NNP O O
Point NNP O O
Mortgage NNP O O
XXXX NNP O O
NC NNP O O
XXXX NNP O O
have VBP O O
mortgage NN O O
ac JJ O O
"5251 4475 2060 1475" CRE O MSK
SS NNP O O
"298 45 8764" SSN O MSK
escrow VBP O O
account NN O O
also RB O O

i NNS O O
have VBP O O
sent VBN O O
several JJ O O
letter NN O O
credit NN O O
bureaus NN O O
asking VBG O O
verification NN O O
accounts NNS O O
SS NNP O O
"298 45 8764" SSN O MSK
"3089 4589 4515 166" CRE O MSK
report NN O O
SS NNP O O
"594 16 1150" SSN O MSK

had VBD O O
baby NN O O
XX/XX/XXXX NNP O O
was VBD O O
calling VBG O O
then RB O O
being VBG O O
very RB O O
rude JJ O O
nasty JJ O O
am VBP O O
sick JJ O O
will MD O O
be VB O O
pursuing JJ O O
legal JJ O O
action NN O O
Please NNP O O
help VB O O
resolve VB O O
CC NNP O O
"5108 9767 8707 9244" CRE O MSK
SSn NNP O O
"475 37 9366" SSN O MSK
DLID NNP O O
q08042113588379 JJ O O

submitted VBD O O
letter NN O O
XXXX NNP O O
XXXX NNP O O
Trans NNP O O
Union NNP O O
advising VBG O O
accounts NNS O O
"4916 6358 2980 4010" CRE O MSK
"3497 4962 8682 579" CRE O MSK
do VBP O O
n't RB O O
belong VB O O
social JJ O O
"438 74 9837" SSN O MSK

Experian JJ O O
reporting VBG O O
inaccurate JJ O O
information NN O O
file NN O O
SS NNP O O
"784 79 7546" SSN O MSK
have VBP O O
sent VBN O O
correspondence NN O O
have VBP O O
contacted VBN O O
telephone NN O O
numerous JJ O O
occasions NNS O O
have VB O O
same JJ O O
corrected VBN O O
company NN O O
willfully RB O O
negligently RB O O
noncompliant JJ O O

've VBP O O
dealt VBN O O
Navient NNP O O
XXXX NNP O O
XXXX NNP O O
XXXX NNP O O
many JJ O O
times NNS O O
starting VBG O O
XX/XX/2019 NNP O O
current JJ O O
date NN O O
XX/XX/2019 NNP O O
CC NNP O O
account NN O O
"4916 0860 0667 4695" CRE O MSK
Anytime NN O O
make VBP O O
additional JJ O O
payment NN O O
somehow VBP O O
administratively RB O O
XXXX VBN O O
payment NN O O
be VB O O
disbursed VBN O O
wrong JJ O O
loan NN O O
affecting VBG O O
scredit NN O O
score NN O O
4345443433 DIL O MSK

thought VBD O O
would MD O O
be VB O O
fair JJ O O
put VB O O
official JJ O O
complaint NN O O
so RB O O
understand VBP O O
frustration NN O O
DL NNP O O
c46280136616439 JJ O O

have VBP O O
pay VB O O
day NN O O
live VB O O
hotel NN O O
total NN O O
using VBG O O
same JJ O O
CC NNP O O
"3447 1965 4211 838" CRE O MSK

delay NN O O
ruined VBD O O
entire JJ O O
holiday NN O O
plan NN O O
canceled VBD O O
trips NNS O O
south VB O O
California NNP O O
loan NN O O
wouldnt NN O O
